标题,链接,排名,反链数,简介
知乎,/Html/site_zhihu.com.html,12,22125,网站简介：一个真实的网络问答社区，帮助你寻找答案，分享知识。...
豆丁文库,/Html/site_docin.com.html,357,4800,"网站简介：豆丁网是全球最大的中文社会化阅读分享平台，拥有商业,教育,研究报告,行业资料,学术论文,认证考试,星座,心理学等数亿实用文档和书刊杂志。..."
海词词典,/Html/site_dict.cn.html,2228,44551,网站简介：海词为英语学习者提供在线英语词典、英语在线翻译、权威学习资料，是新时代的学习型在线词典，有1000万海量词汇，5000万忠实用户，专业教师在线翻译辅导。...
道客巴巴,/Html/site_doc88.com.html,606,263,"网站简介：道客巴巴(doc88.com)是一个在线文档分享平台。你可以上传学术论文,研究报告,行业标准,课后答案,教学课件,工作总结,作文等电子文档，可以自由交换文档，还可以分享新的行业资..."
无忧无虑中学语文网,/Html/site_5156edu.com.html,4399,2362,网站简介：无忧无虑中学语文网（www.5156edu.com）。...
学习啦,/Html/site_xuexila.com.html,2406,1167,网站简介：学习啦（www.xuexila.com）在线学习网是一个学习、互助的平台，在这里你可以免费学习各种知识，包括：学习方法、记忆力/脑力提升、时间管理、英语学习、考试辅导、各种生活...
无忧考网,/Html/site_51test.net.html,2574,1919,网站简介：无忧考网是中国教育考试门户网站，提供学历、资格、英语、计算机、财经、医药、建筑等考试报名时间、成绩查询、试题答案、培训课程信息。...
出国留学网,/Html/site_liuxue86.com.html,4515,937,网站简介：出国留学网拥有海量的新闻资讯、行业、预警等！包括美国留学，英国留学等各国全面的留学费用、留学条件、留学生活、奖学金、签证等知识信息！以及完善的海外学校库，包含热...
汉典,/Html/site_zdic.net.html,4316,3713,"网站简介：汉典,旨在宏扬中华文化..."
中学语文教学资源网,/Html/site_ruiwen.com.html,2355,982,"网站简介：中学语文教学资源网（www.ruiwen.com）为中学语文教师提供课件教案,教学论文,中考试题,高考试题,课堂教学实录视频,课本课文朗读,唐诗宋词诗歌朗诵，百家讲坛，子午书简，电..."
沪江网,/Html/site_hujiang.com.html,3429,6820,网站简介：沪江网提供英语、日语、法语、韩语、网校等相关资讯，沪江网校、外语部落、小Q问答等学习社区，Super背单词、小D翻译、网校图书馆等学习工具；在沪江，收获的不仅仅是外语。...
高三网,/Html/site_gaosan.com.html,7118,409,网站简介：高中三年，陪你一起走过，涵盖高中全部科目学习方法和学习资料，以及高招信息，如大学名单、专业介绍等。有我陪伴，明天更光彩！...
e书联盟,/Html/site_book118.com.html,433,30,"网站简介：e书联盟提供各类电子书下载,其中含比较专业的电子图书,提供部分电子书在线阅读(电子书在线阅读器由自主开发,保护作者版权),承接电子书发布、作者投稿,承接电子书制作。..."
百分网,/Html/site_oh100.com.html,6686,164,网站简介：百分网(Www.OH100.cOM)为您提供百分网手机游戏|百分网网址|百分网游戏|手机百分网|范文大全|byfen网等精品内容。...
听力课堂,/Html/site_tingclass.net.html,16652,772,"网站简介：听力课堂是国内很受欢迎的开放式英语学习网站,提供海量英语听力mp3下载(在线学习和免费下载),以及各种免费学英语资料,让您迅速提升英语水平,攻克英语学习难关!..."
语文迷,/Html/site_yuwenmi.com.html,16767,1365,网站简介：【语文迷】作为中国专业的语文学习网站，开设汉字、词语、成语、 句子、段落、作文、古诗、故事、国学、文章阅读等栏目，致力于提升广大语文爱好者听、说、读、写、思等能力...
汉辞网,/Html/site_hydcd.com.html,25182,256,网站简介：《汉辞网》是汉语大辞典的官方网站，提供汉语大辞典下载、使用方法及常见问题解答。同时提供了新华字典、汉语词典、成语词典、古诗词、古文翻译、近义词、反义词等在线查询...
360doc个人图书馆,/Html/site_360doc.cn.html,4625,4,网站简介：360doc个人图书馆是免费的知识分享社区，注册后即可拥有自己的个人图书馆，并保存、管理和分享在网上看到的好文章。...
中国知网,/Html/site_cnki.net.html,129,8270,网站简介：中国知网知识发现网络平台—面向海内外读者提供中国学术文献、外文文献、学位论文、报纸、会议、年鉴、工具书等各类资源统一检索、统一导航、在线阅读和下载服务。涵盖基础...
360doc个人图书馆,/Html/site_360doc.com.html,247,1163,"网站简介：“360doc个人图书馆”是“北京六智信息技术股份有限公司”运营的免费个人与企业知识管理网站，用户注册后，即可在360doc上免费拥
有自己的网上个人图书馆，进行网页文章收藏..."
第一范文网,/Html/site_diyifanwen.com.html,7102,1172,网站简介：第一范文网（www.diyifanwen.com）各种日常写作指导，同时提供范文参考。主要栏目有：范文大全、个人简历、教案下载、课件中心、 优秀作文、考试辅导、试题库、诗词鉴赏。...
爱词霸,/Html/site_iciba.com.html,4120,5752,网站简介：爱词霸英语为广大英语学习爱好者提供金山词霸、在线词典、在线翻译、英语学习资料、英语歌曲、英语真题在线测试、汉语查词等服务，爱词霸英语在线查词和在线翻译频道致力于...
中公教育网,/Html/site_offcn.com.html,1752,22978,网站简介：【中公教育-专业公务员培训机构】提供国考、省考、事业编、教师、银行、考研、会计等公告、时间、职位表、报名入口、成绩查询、真题、网校、笔试面试辅导及it培训。...
中国教育考试网,/Html/site_neea.edu.cn.html,1230,2224,"网站简介：教育部考试中心为教育部""指定承担教育考试专项职责任务并赋有部分行政管理职能的直属事业单位""。..."
华图教育官网,/Html/site_huatu.com.html,2551,6705,网站简介：华图教育是华图宏阳股份旗下品牌，拥有遍布全国的数百家分支机构。主要产品包括中央和地方公务员招录考试辅导，事业单位、三支一扶、村官、选调生、招警等考试辅导。...
新东方,/Html/site_xdf.cn.html,3801,19252,网站简介：新东方网（www.xdf.cn）是新东方教育科技集团推出的一站式学习互动交流平台，新东方网的内容涵盖了英语学习规划、成长导航、新东方搜课、新东方老师答问、在线咨询、网上测...
古诗文网,/Html/site_gushiwen.org.html,1404993,117,网站简介：古诗文网作为传承经典的网站成立于2011年。古诗文网专注于古诗文服务，致力于让古诗文爱好者更便捷地发表及获取古诗文相关资料。...
在线新华字典,/site_xh.5156edu.com.html,4399,1602,网站简介：大全的在线汉语字典...
中国教育在线,/Html/site_eol.cn.html,9975,7168,网站简介：中国教育在线是中国领先的综合教育门户，主要发布高考、考研、自考、成人高考、教师招聘、就业、留学等权威的招考、招生、就业、招聘、复习、辅导信息，并设有校园、博客、...
可可英语,/Html/site_kekenet.com.html,10779,1248,"网站简介：国内著名的免费英语学习网站,主要频道有VOA慢速英语,VOA常速英语,bbc英语听力,英语口语,英文歌曲,影视英语,新概念,四六级等英语考试,同时提供大量音频和课件下载。..."
查查在线词典,/Html/site_ichacha.net.html,4928,2185,网站简介：查查在线词典（www.ichacha.net）提供免费在线翻译，在线词典，全文翻译，词汇翻译服务。...
新东方在线,/Html/site_koolearn.com.html,5072,10811,网站简介：新东方在线是由新东方集团全资创办官方网校，提供出国留学、考研培训、英语培训和职业教育培训的综合网络教育培训机构，依托强大的新东方师资力量与教学资源，拥有先进的教...
高顿网校,/Html/site_gaodun.com.html,4249,511,"网站简介：高顿网校(www.gaodun.com)是高顿教育旗下财经网络教育品牌,提供ACCA、CPA、CMA、AICPA、CFA、会计职称、会计从业资格、证券从业资格、期货从业资格、银行从业资格等考试报名..."
MBA智库百科,/site_wiki.mbalib.com.html,3079,282,网站简介：MBA智库百科，专注于经济管理领域知识的创建与分享。包括企业管理、市场营销、管理咨询、人力资源、战略管理、MBA案例、财务会计、广告、品牌、经济、金融、法律、博弈论、...
搜狗问问,/site_wenwen.sogou.com.html,69,2420,网站简介：搜狗旗下的互动问答社区，用户可以提出问题、解决问题、或者搜索其他用户沉淀的精彩内容；在这里可以感受到热烈的互助气氛，浏览到精彩的问答内容。...
搜狗百科,/site_baike.sogou.com.html,69,7238,网站简介：搜狗百科是搜狗搜索为广大用户所提供的一部自由、开放、共享的百科全书。旨在创造一个涵盖所有知识领域，服务于全部互联网用户的高质量内容平台。...
查字典,/site_www.chazidian.com.html,10650,1251,"网站简介：查字典集合在线汉语字典,包括汉语词典,成语词典,英语词典等在线查询工具,是学生查询学习资料的好帮手。..."
医学教育网,/Html/site_med66.com.html,11624,2091,"网站简介：医学教育网（www.med66.com）正保旗下中国超大型国家医学考试网站,常年开展:临床,中医,口腔执业医师考试培训班,执业药师,卫生资格考试辅导班,屡创中国医学考试网上辅导通过..."
