公司名称,城市,营业收入,利润,上市日期,行业分类,产品类型
北京时代科技股份有限公司,北京市,2.16亿,4478.66万,2006-03-31,金属切割及焊接设备制造,焊机、切割机、零配件技术服务
北京绿创环保设备股份有限公司,北京市,1224.56万,-2482.19万,2006-06-07,环境保护专用设备制造,汽排业务、大气业务
原子高科股份有限公司,北京市,13.25亿,2.94亿,2006-07-28,化学药品制剂制造,放射性药品销售及检验业务、放射源销售及技术服务业务、辐照业务、辐射防护器材及建筑工程业务、专用设备生产及销售业务
北京华环电子股份有限公司,北京市,2.48亿,1323.96万,2006-11-28,通信终端设备制造,传输接入产品、终端产品、加工费
现代农装科技股份有限公司,北京市,2.41亿,-3502.94万,2006-12-08,机械化农业及园艺机具制造,技术开发、技术推广、销售农业机械设备及配件、汽车、棉花、机械配件、自动导航驾驶系统
北京恒业世纪科技股份有限公司,北京市,2.94亿,2475.20万,2007-06-15,社会公共安全设备及器材制造,消防应急疏散逃生系统、智能建筑整体解决方案
英特智城(北京)信息科技股份有限公司,北京市,--,--,2007-06-18,信息系统集成服务,技术开发与服务
北京胜龙科技股份有限公司,北京市,--,--,2007-07-26,软件开发,视觉识别以及语音识别产品
北京星昊医药股份有限公司,北京市,5.82亿,7006.75万,2007-08-16,化学药品制剂制造,复方消化酶胶囊、吡拉西坦注射剂、甲钴胺片、胞磷胆碱钠注射液、cd醋酸奥曲肽注射剂、注射用七叶皂苷钠、注射用利福霉素钠、CMC/CMO
北京新松佳和电子系统股份有限公司,北京市,1.25亿,1467.90万,2007-09-28,其他计算机制造,抗恶劣环境产品、通用控制领域产品
北京建工华创科技发展股份有限公司,北京市,688.63万,-1226.20万,2007-09-28,防水建筑材料制造,预制混凝土构配件、模具、技术服务
北京海鑫科金高科技股份有限公司,北京市,5.99亿,3616.50万,2007-09-28,信息系统集成服务,技术服务、租金
北京五岳鑫信息技术股份有限公司,北京市,5562.57万,1818.89万,2007-10-18,计算机外围设备制造,阅读机、服务、语音卡
北京石晶光电科技股份有限公司,北京市,1.32亿,635.65万,2008-01-16,其他非金属矿物制品制造,棒（板）材、厚度片、光学片、频率片、原晶
北京北科光大信息技术股份有限公司,北京市,1257.63万,-1806.57万,2008-02-18,软件开发,技术开发、服务、集成产品、商品销售
